Site,Name,Pleiades
urn:cite:ptolemy:lonlat.pt_ll_5545,Batthina in persis,x
urn:cite:ptolemy:lonlat.pt_ll_4262,Kinna in persis,619188
urn:cite:ptolemy:lonlat.pt_ll_4263,Parodana in persis,930231
urn:cite:ptolemy:lonlat.pt_ll_4264,TaÄ“pa Ä“ Taispa (Khirbet el-Taiyineh) in persis,746765
urn:cite:ptolemy:lonlat.pt_ll_4265,TragonikÄ“ (Tragonike) in persis,930254
urn:cite:ptolemy:lonlat.pt_ll_4266,Maitona in persis,930210
urn:cite:ptolemy:lonlat.pt_ll_4267,Khorodna in persis,903061
urn:cite:ptolemy:lonlat.pt_ll_4271,Parta in persis,930232
urn:cite:ptolemy:lonlat.pt_ll_4272,Mammida in persis,930212
urn:cite:ptolemy:lonlat.pt_ll_4273,Ouzia in persis,930225
urn:cite:ptolemy:lonlat.pt_ll_5547,Pasargada in persis,930234
urn:cite:ptolemy:lonlat.pt_ll_4274,Gabai in persis,902990
urn:cite:ptolemy:lonlat.pt_ll_4268,Korrha in persis,930202
urn:cite:ptolemy:lonlat.pt_ll_4269,Gabra in persis,138367
urn:cite:ptolemy:lonlat.pt_ll_4270,Orobatis polis in persis,930222
urn:cite:ptolemy:lonlat.pt_ll_5546,TaokÄ“ in persis,922626
